"ep_no","series_ep_code","title","air_date"
"","s00e01","Saves The Day","2009-07-15"
"","s00e02","Episode 2","2017-01-05"
"","s00e03","Help Is Here","2017-07-12"
"","s00e04","Fire Of Pontypandy","2018-06-13"
"","s00e05","Brave New Rescues",""
"","s00e06","Fireman Sam on Stage",""
"","s00e07","Helicopter Heroes",""
"","s00e08","Fireman Sam: The Great Fire of Pontypandy","2014-11-04"
"","s00e09","Heroes of the Storm","2014-11-04"
"","s00e10","Alien Alert","2016-10-05"
"","s00e11","Set for Action!","2020-12-05"
"","s00e12","Norman Price and the Mystery in the Sky","2020-12-05"
"","s00e55","Santa Overboard","2012-12-25"
"001","s01e01","The Kite","1987-11-17"
"002","s01e02","Barn Fire","1987-11-19"
"003","s01e03","Trevor's Training","1987-11-24"
"004","s01e04","Flat Tyre","1987-11-26"
"005","s01e05","Camping","1987-12-01"
"006","s01e06","Norman's Tricky Day","1987-12-03"
"007","s01e07","Lost Cat","1987-12-08"
"008","s01e08","Telly Trouble","1987-12-10"
"009","s02e01","Treasure Hunt","1988-09-01"
"010","s02e02","Sam's Day Off","1988-09-08"
"011","s02e03","Thief in Pontypandy","1988-09-15"
"012","s02e04","Chemistry Set","1988-09-22"
"013","s02e05","The Wishing Well","1988-09-29"
"014","s02e06","The Great Inventor","1988-10-06"
"015","s02e07","Safe With Sam","1988-12-19"
"016","s02e08","Snow Business","1988-12-22"
"017","s02e09","Episode 9",""
"024","s02e16","Episode 16",""
"025","s02e17","Episode 17",""
"027","s02e19","Episode 19",""
"021","s03e01","Dilys' Forgetful Day","1990-10-15"
"022","s03e02","Spot of Bother","1990-10-22"
"023","s03e03","Halloween","1990-10-29"
"024","s03e04","Norman's Pitfall","1990-11-05"
"025","s03e05","Lost Ring","1990-11-12"
"026","s03e06","All in a Good Cause","1990-11-19"
"027","s03e07","Brass Band","1990-11-26"
"028","s03e08","Lost in the Fog","1990-12-03"
"029","s03e09","Bentley the Robot","1990-12-10"
"030","s04e01","Home from Rome","1994-10-25"
"031","s04e02","Rich and Famous","1994-10-27"
"032","s04e03","Quarry Rescue","1994-11-01"
"033","s04e04","Deep Trouble","1994-11-03"
"034","s04e05","Trevor's Bus Boot Sale","1994-11-08"
"035","s04e06","What Goes Up","1994-11-10"
