"ep_no","series_ep_code","title","air_date"
"","s00e01","The Library","1990-11-05"
"","s00e02","Mr. Bean's Red Nose Day","1991-03-15"
"","s00e03","The Bus Stop","1991-11-15"
"","s00e04","I Want To Be Elected","1992-04-17"
"","s00e05","Blind Date","1993-03-12"
"","s00e06","Torvill and Bean","1995-03-17"
"","s00e07","The Best Bits of Mr. Bean","1995-12-15"
"","s00e08","The Story of Bean","1997-07-31"
"","s00e09","Mr. Bean's Wedding","2007-03-16"
"","s00e10","Funeral","2015-03-13"
"","s00e11","Picture of You","2015-03-19"
"","s00e12","Mr. Bean Drives His Car Again","2015-09-05"
"","s00e13","Mr. Bean at the Olympic","2012-07-27"
"","s00e14","Happy Birthday Mr Bean","2021-01-10"
"","s00e15","The Chair","1994-01-10"
"","s00e16","Marching","1994-10-26"
"","s00e17","Playing with Matches","1994-10-26"
"","s00e18","The Stonk","1991-03-15"
"","s00e19","Crash","2007-04-16"
"","s00e20","British Airways Safety Video","2017-07-18"
"","s00e21","Mr. Bean Cinema Policy Trailer","1997-01-01"
"","s00e22","Bean (1997) - Scenes Unseen","1997-03-01"
"","s00e23","Deleted Scenes for Mr. Bean's Holiday","2007-03-01"
"","s00e24","Turkey Weight","1992-12-29"
"","s00e25","Mr. Bean 25th Anniversary Behind The Scenes","2015-12-05"
"","s00e26","Mr. Bean Takes an Exam","1991-11-01"
"","s00e27","Mr. Bean Goes to a Première","1991-11-01"
"","s00e28","Blue Peter Easter special",""
"","s00e29","Fuji Film TV ad",""
"","s00e30","M&M's TV ad (Australian version)",""
"","s00e31","M&M's TV ad (UK version)",""
"","s00e32","Mr. Bean in ''Top Funny Comedian꞉ The Movie''",""
"","s00e33","Mr. Bean Live on ''The National Lottery''",""
"","s00e34","Mr. Bean on Chinese talk show ''Tonight 80s''",""
"","s00e35","Mr. Bean on Danish talk show ''Talkshowet''",""
"","s00e36","Mr. Bean on German talk show ''Schmidteinander''",""
"","s00e37","Mr. Bean on ''Going Live!''",""
"","s00e38","Mr. Bean on ''Late Night with Conan O'Brien''",""
"","s00e39","Mr. Bean on Norwegian talk show ''Rondo''",""
"","s00e40","Mr. Bean on Swedish talk show ''Blix från klar himmel''",""
"","s00e41","Mr. Bean on ''The Dame Edna Treatment''",""
"","s00e42","Mr. Bean on ''This Morning''",""
"","s00e43","Nissan Tino TV ad #1",""
"","s00e44","Nissan Tino TV ad #2",""
"","s00e45","Nissan Tino TV ad #3",""
"","s00e46","Rema 1K TV ads",""
"","s00e47","Snickers TV ad",""
"","s00e48","Snickers TV spots",""
"001","s01e01","Mr. Bean","1990-01-01"
"002","s01e02","The Return of Mr. Bean","1990-11-05"
"003","s01e03","The Curse of Mr. Bean","1990-12-30"
"004","s01e04","Mr. Bean Goes to Town","1991-10-15"
"005","s01e05","The Trouble with Mr. Bean","1992-01-01"
"006","s01e06","Mr. Bean Rides Again","1992-02-17"
"007","s01e07","Merry Christmas Mr. Bean","1992-12-29"
"008","s01e08","Mr. Bean in Room 426","1993-02-17"
"009","s01e09","Do-It-Yourself Mr. Bean","1994-01-10"
"010","s01e10","Mind the Baby, Mr. Bean","1994-04-25"
"011","s01e11","Back to School Mr. Bean","1994-10-26"
"012","s01e12","Tee Off, Mr. Bean","1995-09-20"
"013","s01e13","Goodnight, Mr. Bean","1995-10-31"
"014","s01e14","Hair by Mr. Bean of London","1995-11-15"
