"ep_no","series_ep_code","title","air_date"
"","s00e01","You Wish","2001-03-09"
"","s00e02","Holiday Party","2002-12-04"
"","s00e03","Plankton's Holiday Hits","2002-12-04"
"","s00e04","Bikini Bottom's 7 Life Strategies","2003-03-04"
"","s00e05","The Origin of SpongeBob SquarePants","2003-10-28"
"","s00e06","Recollections From the First Season Crew","2003-10-28"
"","s00e07","Everybody's Talking: The Voices Behind SpongeBob SquarePants","2003-10-28"
"","s00e08","Drawing the Goo Lagoon","2003-10-28"
"","s00e09","The Endless Summer","2005-06-30"
"","s00e10","Around the World With SpongeBob SquarePants","2004-10-05"
"","s00e11","How to Draw SpongeBob SquarePants & His Underwater Buddies","2005-09-27"
"","s00e12","Behind the Scenes: The Voices of SpongeBob & Friends","2006-09-12"
"","s00e13","Crossing the Street","2006-11-02"
"","s00e14","Anything for Baby","2006-11-02"
"","s00e15","Flowers for Sandy","2006-11-02"
"","s00e16","Me Money","2006-11-02"
"","s00e17","Pie","2006-11-02"
"","s00e18","Behind the Scenes With Pick Boy and SpongeBob","2007-01-09"
"","s00e19","Can't Swim","2007-01-12"
"","s00e20","Loop dee Loop","2007-03-28"
"","s00e21","Remodeling","2007-04-05"
"","s00e22","What if SpongeBob Was Gone? (Gary)","2008-10-14"
"","s00e23","What if SpongeBob Was Gone? (Sandy)","2008-10-14"
"","s00e24","What if SpongeBob Was Gone? (Mr. Krabs)","2008-10-14"
"","s00e25","What if SpongeBob Was Gone? (Patrick)","2008-10-14"
"","s00e26","Separation Anxiety","2009-04-22"
"","s00e27","Surfing Dreams","2009-04-22"
"","s00e28","SpongeBoard","2009-04-22"
"","s00e29","Square Roots: The Story of SpongeBob SquarePants","2009-09-22"
"","s00e30","Life Lessons from Bikini Bottom","2009-09-22"
"","s00e31","Balloons","2009-12-08"
"","s00e32","Juice Man","2009-12-08"
"","s00e33","Traffic","2009-12-08"
"","s00e34","The Outfit","2009-12-08"
"","s00e35","How to Make SpongeBob SquarePants","2010-03-16"
